Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DK-A6B2-01A-11R-A30C-07	0.0680179117725145	0	0.134013061468336	0.0992631524014819	0	0.0567934872828405	0.0131181019197975	0.0239192782962074	0.0572843603431236	0	0	0.024614695265577	0.00218411111865479	0.091713607568509	0.119571020419454	0.173721306843716	0.0260713827031283	0.0339163153837905	0.0730897846917493	0	0	0.00270842252112025	0	0.313840365028478	0.952679971605868
TCGA-UY-A78K-01A-11R-A33J-07	0.00791936096852131	0.118412651460106	0.103531716141753	0.120776048679834	0	0.107103737501382	0.018415510213767	0.0222708672706146	0.120015546692361	0.0192151582405364	0	0.023957742912894	0	0.108830876418564	0.0909126075031426	0.0986996131611288	0.00552976439317651	0	0.0344087984422193	0	0	0	0	0.479107587487442	0.879937976115654
TCGA-GD-A3OS-01A-12R-A220-07	0.019761724892246	0	0.0160224116661962	0.0955618214923235	0	0.163736095940766	0	0.0188716846872246	0.122090140004011	0	0.0177520050098869	0.0110963025524607	0.0115640524125427	0.349847274947434	0.00512138979211512	0.119317160114487	0	0.0229730653403202	0	0.0262848711479862	0	0	0.09	0.138755071157304	1.05766306382462
TCGA-DK-AA6U-01A-11R-A39I-07	0.0741895955646598	0	0	0.0548869001902347	0	0.0585125159445744	0	0	0.260673323382154	0	0	0.0834338666557633	0.0381066113328621	0	0.0614263407427185	0.132909666670396	0.0642561510511955	0.0768085893022672	0.0499130962123319	0	0	0.0448833429508429	0.41	0.0262475564923062	1.07911592741835
TCGA-FD-A6TG-01A-11R-A32O-07	0.0393398664893329	0	0.12520680546268	0.116576706476194	0	0	0	0.0669419466871268	0.0381434308353813	0.0279279201558708	0	0.0577570278103285	0.0133175637251183	0.0549292039676898	0.0956394953311774	0.161958411556484	0.0691253134833183	0	0.133136308019298	0	0	0	0.04	0.174279373901642	1.00671380472697
TCGA-DK-AA6T-01A-11R-A39I-07	0.171155706335776	0.570273798523466	0.0204917612407701	0.0698684294512664	0	0	0.0160818810714477	0.0274837307803633	0.00520381067442914	0.00779770638283456	0	0.0124546748015786	0.00233846497228423	0	0	0.0466007532523123	0	0.0438232726906608	0.00642600982281127	0	0	0	0	0.491356528866803	0.87526577934939
TCGA-DK-A2I4-01A-11R-A21D-07	0.0207021817831266	0	0.0091896242296751	0.210433754591105	0	0.115168041055689	0.150876310819945	0	0	0	0.042938915345493	0	0.0113713053992367	0.107027649441417	0.0993579927072389	0.192003941758311	0.00408476341497711	0	0.0368455194537863	0	0	0	0	0.423112209774359	0.905531675330708
TCGA-LT-A8JT-01A-11R-A36F-07	0.00981981817398034	0	0.12065595749673	0.173641826480361	0	0.136542453980391	0	0.110239463919424	0.099002757323076	0	0	0	0.0102958589087781	0.000972540671926536	0.152645912366878	0.111571301065145	0.0608805013904988	0.00792789747338786	0.00580371074942384	0	0	0	0.26	0.0659124386928566	1.07406485589378
TCGA-2F-A9KP-01A-11R-A38B-07	0.0931683253866332	0.00985606323615571	0.0936660152925506	0.0719908934500605	0	0.228291589963163	0	0.0800318206843577	0.0396435414874838	0	0	0.0174376525888397	0.0500799728176313	0.0161111468829694	0	0.0416309600869409	0	0.164274880798147	0	0.0391815976459629	0.00244555219632293	0.0521899874827817	0.57	0.00962584415026379	1.07780678136929
TCGA-BT-A2LD-01A-12R-A20F-07	0.0488205262667105	0	0.132819087977931	0.0292990606802597	0	0.143172329118239	0.0166091910963745	0.045251991913709	0.00348256402810133	0.0444806726610145	0	0.0575402045980476	0	0.121040057243508	0.154933169010779	0.130373480686013	0	0	0.0686115055720143	0	0	0.00356615914729848	0.26	0.0680023581101805	1.06285691976781
