"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"KLHL6",1.31540377300746e-23,0.583933230948402,0.383,0.017,1.38091088090323e-19,"0"
"KRT7",1.61683804024232e-23,-0.917747653146245,0.235,0.857,1.69735657464639e-19,"0"
"ARHGAP25",1.62952985583553e-23,0.833971030026398,0.469,0.048,1.71068044265614e-19,"0"
"AZGP1",2.03998099633309e-23,-1.03717365515141,0.259,0.82,2.14157204995047e-19,"0"
"CD3D",2.17478285049929e-23,1.11328484145966,0.543,0.088,2.28308703645415e-19,"0"
"GPR65",2.37748897141159e-23,0.751871109935894,0.37,0.014,2.49588792218789e-19,"0"
"FCER1G",2.57300577189873e-23,1.43489613020468,0.568,0.112,2.70114145933928e-19,"0"
"HES1",2.82827811334082e-23,-0.683504144492834,0.222,0.912,2.9691263633852e-19,"0"
"RPL10",2.88034614741186e-23,0.28298009181326,1,1,3.02378738555297e-19,"0"
"PTPRE",3.24808449086356e-23,0.96989913331926,0.704,0.214,3.40983909850856e-19,"0"
"S100A4",3.73085819580029e-23,1.00029793000998,0.802,0.371,3.91665493395115e-19,"0"
"TCF4",5.01587973414276e-23,0.940953653212556,0.617,0.126,5.26567054490307e-19,"0"
"RASGEF1B",5.28649982237013e-23,0.842606636658912,0.864,0.497,5.54976751352416e-19,"0"
"LAT2",5.33316155324967e-23,0.856336026814001,0.469,0.051,5.59875299860151e-19,"0"
"CALM1",5.93549557841366e-23,0.347086857997583,0.963,0.983,6.23108325821866e-19,"0"
"ARPC4",6.13172308011219e-23,0.383591575900738,0.988,0.956,6.43708288950177e-19,"0"
"HLA-DQB2",6.26155820459619e-23,0.894311666802423,0.568,0.105,6.57338380318508e-19,"0"
"CRABP2",7.0873195646473e-23,-0.989214039991632,0.173,0.83,7.44026807896674e-19,"0"
"MAL2",7.41980520633057e-23,-0.918987076957426,0.074,0.759,7.78931150560583e-19,"0"
"RASSF2",7.78744524765641e-23,0.865991334801994,0.531,0.082,8.1752600209897e-19,"0"
"FAU",8.78263737611735e-23,0.320887479767012,0.988,0.99,9.22001271744799e-19,"0"
"RPL21",9.14344785586291e-23,0.304061101369863,1,1,9.59879155908488e-19,"0"
"PIK3AP1",9.24159372353e-23,0.822816632542298,0.444,0.044,9.70182509096179e-19,"0"
"TFAP2A",9.78220028891767e-23,-0.804331501288311,0.099,0.789,1.02693538633058e-18,"0"
"TRIM22",9.93495156059192e-23,1.05575673130095,0.741,0.262,1.04297121483094e-18,"0"
"RPS29",1.0493551623044e-22,0.320414402390022,1,1,1.10161304938716e-18,"0"
"DDR1",1.0873805605966e-22,-0.773322640204373,0.074,0.748,1.14153211251431e-18,"0"
"ADAM19",1.25233412408533e-22,1.00903530186329,0.568,0.109,1.31470036346478e-18,"0"
"CNN3",1.25291644922568e-22,-0.836421994023396,0.136,0.82,1.31531168839712e-18,"0"
"NCF4",1.283213482113e-22,0.860607574829387,0.42,0.034,1.34711751352223e-18,"0"
"TFEC",1.29903527860341e-22,0.799057392973182,0.321,0.003,1.36372723547786e-18,"0"
"SLA",1.3152866356904e-22,0.982219336226079,0.481,0.061,1.38078791014778e-18,"0"
"NECTIN4",1.50437571543878e-22,-0.927106994287146,0.062,0.748,1.57929362606763e-18,"0"
"TPD52L1",1.56785641494689e-22,-0.901174176700592,0.074,0.745,1.64593566441124e-18,"0"
"CRIP2",1.86402294037081e-22,-0.897049982038452,0.123,0.813,1.95685128280127e-18,"0"
"PIK3CD",1.87479691839179e-22,0.725426654616918,0.407,0.031,1.9681618049277e-18,"0"
"RPL35",2.08324446604687e-22,0.291448847402479,1,1,2.18699004045601e-18,"0"
"C1orf162",2.19384473264307e-22,1.09661387044129,0.469,0.058,2.3030982003287e-18,"0"
"CD9",2.40527905629149e-22,-0.751979833007435,0.457,0.983,2.52506195329481e-18,"0"
"UBC",2.58592959997365e-22,0.290920577421993,1,1,2.71470889405234e-18,"0"
"KDM5B",2.66174936997956e-22,-0.775290823797134,0.222,0.861,2.79430448860454e-18,"0"
"RPS25",2.79995031477779e-22,0.298409109684287,1,1,2.93938784045373e-18,"0"
"PARD6B",2.88531015598458e-22,-0.847691769284085,0.222,0.874,3.02899860175261e-18,"0"
"HSPA8",2.96346576934098e-22,0.330598948751344,1,0.997,3.11104636465416e-18,"0"
"MCOLN2",3.18327049522e-22,0.872076408244224,0.506,0.071,3.34179736588195e-18,"0"
"NFIA",3.30999380960196e-22,-0.76065239849928,0.16,0.85,3.47483150132014e-18,"0"
"LAPTM4B",3.64876618305341e-22,-0.802905659047926,0.099,0.796,3.83047473896947e-18,"0"
"PTGER4",3.7808434208261e-22,0.775056834715304,0.543,0.088,3.96912942318323e-18,"0"
"GPR183",3.89110065419603e-22,1.1576786623975,0.63,0.16,4.08487746677499e-18,"0"
"RPS23",4.68713468640363e-22,0.312480898750666,0.988,0.99,4.92055399378653e-18,"0"
"RPL4",5.04420425363958e-22,0.3080117283207,1,0.99,5.29540562547083e-18,"0"
"ERBB2",5.15517788083831e-22,-0.904159448284266,0.099,0.752,5.41190573930406e-18,"0"
"TNFAIP8",5.23802046631627e-22,0.987688066344557,0.704,0.235,5.49887388553882e-18,"0"
"RPS14",5.2771925207805e-22,0.286183684508134,1,1,5.53999670831537e-18,"0"
"PERP",5.33823209224925e-22,-0.816197577765678,0.148,0.806,5.60407605044326e-18,"0"
"ITGAX",5.44556814467378e-22,0.948911320330613,0.383,0.024,5.71675743827853e-18,"0"
"CD83",5.58479731259294e-22,1.19766309224639,0.654,0.204,5.86292021876006e-18,"0"
"HLA-DRB6",6.9831174607759e-22,0.656441761534154,0.506,0.071,7.33087671032254e-18,"0"
"RPS19",7.48166018493571e-22,0.286185188448213,1,0.997,7.85424686214551e-18,"0"
"S100A16",7.76612976388907e-22,-0.918816595561738,0.21,0.823,8.15288302613074e-18,"0"
"CKAP4",8.8874914442571e-22,-0.735445845509171,0.099,0.776,9.3300885181811e-18,"0"
"EEF1A1",9.36499213795966e-22,0.27727256223252,1,1,9.83136874643005e-18,"0"
"ITGA4",9.77915540150588e-22,0.709430874676419,0.432,0.041,1.02661573405009e-17,"0"
"FNBP1L",9.94737707447476e-22,-0.743850060536843,0.062,0.745,1.04427564527836e-17,"0"
"RPS11",1.01293430839023e-21,0.302920277426465,1,0.997,1.06337843694806e-17,"0"
"PAWR",1.02493138809009e-21,-0.808532672619879,0.086,0.752,1.07597297121698e-17,"0"
"LILRB1",1.06307289321733e-21,0.625913285302145,0.309,0.003,1.11601392329955e-17,"0"
"HNRNPA1",1.31013712421197e-21,0.310470705324602,1,0.986,1.37538195299773e-17,"0"
"GZMB",1.4801747607875e-21,1.18937790158231,0.469,0.061,1.55388746387472e-17,"0"
"STK17B",1.7446542853527e-21,0.678820061736303,0.901,0.687,1.83153806876326e-17,"0"
"TAGAP",1.7495162264478e-21,0.882793009814032,0.519,0.082,1.8366421345249e-17,"0"
"PSMB9",1.92721795125757e-21,0.862927669903299,0.84,0.405,2.0231934052302e-17,"0"
"JUP",2.02173039594088e-21,-0.75412674796513,0.086,0.752,2.12241256965873e-17,"0"
"ADGRE5",2.14742207773611e-21,0.921541607656005,0.654,0.187,2.25436369720736e-17,"0"
"IFITM2",2.17635712063864e-21,0.752532822905891,0.926,0.605,2.28473970524645e-17,"0"
"DDX5",2.91885490151842e-21,0.364737255384435,1,0.99,3.06421387561404e-17,"0"
"CLU",3.10066464878636e-21,-0.878409617172467,0.333,0.871,3.25507774829592e-17,"0"
"HSP90AA1",3.44604581871305e-21,0.300359339502843,1,1,3.61765890048496e-17,"0"
"MORF4L1",3.48400280260213e-21,0.313929144171347,0.988,0.986,3.65750614217172e-17,"0"
"NQO1",3.55851818060201e-21,-0.826955046213384,0.16,0.83,3.73573238599599e-17,"0"
"CRIP1",3.70343873100144e-21,0.751277923755087,0.889,0.435,3.88786997980532e-17,"0"
"SEPTIN6",3.73039203986185e-21,0.855061802495083,0.79,0.337,3.91616556344697e-17,"0"
"PSME1",3.88420581120261e-21,0.370787381947697,0.975,0.963,4.0776392606005e-17,"0"
"RPLP1",4.02250958693543e-21,0.288513002135362,1,1,4.22283056436482e-17,"0"
"TSC22D1",4.26200252774519e-21,-0.818179677020838,0.222,0.884,4.4742502536269e-17,"0"
"MX2",4.28146350068343e-21,0.830496500119245,0.58,0.116,4.49468038301747e-17,"0"
"SPINT1",4.33484791021253e-21,-0.817853564884544,0.074,0.741,4.55072333614111e-17,"0"
"TRBC2",4.8996186941151e-21,1.18789127762369,0.58,0.139,5.14361970508203e-17,"0"
"ANKRD44",5.09813406786767e-21,0.849014106830619,0.469,0.065,5.35202114444748e-17,"0"
"RPS27",5.18337566347687e-21,0.304942540096704,1,1,5.44150777151802e-17,"0"
"SELENBP1",5.53185724748484e-21,-0.910234127187314,0.062,0.694,5.80734373840958e-17,"0"
"RPS13",5.85014696218389e-21,0.299395493530218,1,0.993,6.14148428090064e-17,"0"
"LPXN",6.49002788085081e-21,1.01378696792217,0.667,0.218,6.81323126931718e-17,"0"
"CLK1",7.71840183556608e-21,0.468890595261034,0.975,0.895,8.10277824697727e-17,"0"
"S100A13",7.85148567799008e-21,-0.894265855788059,0.111,0.769,8.24248966475399e-17,"0"
"ADA2",8.11563232954592e-21,0.803186189917924,0.358,0.02,8.51979081955731e-17,"0"
"RPL13A",8.13111664254207e-21,0.281232149189755,1,1,8.53604625134067e-17,"0"
"RPS3A",8.77885561318437e-21,0.293034508024755,1,1,9.21604262272095e-17,"0"
"AIF1",9.28982677453244e-21,1.16104321009644,0.432,0.051,9.75246014790416e-17,"0"
"RPL15",9.47753129723329e-21,0.279137595496296,1,0.993,9.9495123558355e-17,"0"
"GPSM3",9.71585885366437e-21,0.700403685002494,0.457,0.054,1.01997086245769e-16,"0"
"RAB25",1.00165943343276e-20,-0.87295226591508,0.062,0.731,1.05154207321771e-16,"0"
"ABI3",1.19619363829058e-20,0.666625726760152,0.333,0.014,1.25576408147745e-16,"0"
"MAP7",1.56730274743955e-20,-0.726335204101358,0.037,0.687,1.64535442426204e-16,"0"
"PRLR",1.59886497595748e-20,-0.728607763953344,0.025,0.656,1.67848845176017e-16,"0"
"RPL11",1.68873245897582e-20,0.317953354419635,1,0.983,1.77283133543282e-16,"0"
"RAPGEF1",1.68911897942118e-20,0.638376152840237,0.519,0.088,1.77323710459636e-16,"0"
"HNRNPH1",1.80262959170238e-20,0.291567174859565,1,1,1.89240054536916e-16,"0"
"LY96",1.96102822294155e-20,0.910930980528009,0.469,0.065,2.05868742844404e-16,"0"
"IRF4",2.04558895892118e-20,0.856703241188432,0.395,0.034,2.14745928907545e-16,"0"
"CAP1",2.2276023615197e-20,0.467357742833868,0.975,0.898,2.33853695912338e-16,"0"
"WDFY4",2.27616855591467e-20,0.846250507350035,0.383,0.031,2.38952174999922e-16,"0"
"RPL37",2.44180675810229e-20,0.261922648577545,1,0.997,2.56340873465579e-16,"0"
"FNBP1",3.09481163407681e-20,0.795870744792943,0.852,0.449,3.24893325345384e-16,"0"
"MYL6",3.26874732636633e-20,0.272643134989246,1,1,3.43153094321937e-16,"0"
"TMEM9",3.55391963371537e-20,-0.762890599695336,0.136,0.789,3.7309048314744e-16,"0"
"NFIB",4.22915471982628e-20,-0.884625856670531,0.099,0.724,4.43976662487363e-16,"0"
"STAT4",4.48210724315102e-20,0.772693256907764,0.395,0.037,4.70531618385994e-16,"0"
"TMSB10",4.5635191053061e-20,0.27199149490959,1,1,4.79078235675034e-16,"0"
"CD3G",4.88340890165858e-20,1.05472913192591,0.481,0.078,5.12660266496117e-16,"0"
"GPRC5A",5.02137052947462e-20,-0.87577644226492,0.111,0.745,5.27143478184245e-16,"0"
"GIMAP7",5.40838381741818e-20,0.85466579569353,0.42,0.044,5.6777213315256e-16,"0"
"RPS6",5.71684245716491e-20,0.268735286347485,1,0.997,6.00154121153172e-16,"0"
"PATJ",5.87193561360154e-20,-0.699075836550497,0.086,0.728,6.16435800715889e-16,"0"
"HLA-DOA",5.97315934755348e-20,0.723602685964233,0.358,0.024,6.27062268306165e-16,"0"
"MBNL1",6.23939041841219e-20,0.562107617870021,0.914,0.782,6.55011206124912e-16,"0"
"PSME2",7.25887747767534e-20,0.482176457026373,0.963,0.898,7.62036957606357e-16,"0"
"FOXA1",8.44403862896884e-20,-0.792456224432996,0.074,0.694,8.86455175269149e-16,"0"
