"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"SEMA3C",2.15093434279193e-17,-0.831405019729589,0.08,0.685,2.25805087306297e-13,"0"
"AP3S1",2.16854546507136e-17,0.4934457179118,0.987,0.607,2.27653902923191e-13,"0"
"NUP43",2.78137722541847e-17,0.521473561367331,0.947,0.47,2.91988981124431e-13,"0"
"TBC1D24",2.87525376319924e-17,0.561990859050281,0.92,0.374,3.01844140060656e-13,"0"
"ELF5",3.02383309123218e-17,0.617618772062904,0.76,0.224,3.17441997917554e-13,"0"
"IFT122",3.2542607504493e-17,0.582285626342442,0.733,0.21,3.41632293582168e-13,"0"
"IL1RN",3.36734188185727e-17,0.574586863496425,0.6,0.119,3.53503550757377e-13,"0"
"TIMM8B",3.7260727496911e-17,0.430498297425452,1,0.639,3.91163117262571e-13,"0"
"PAFAH1B2",4.3329094500395e-17,0.351980574608415,0.987,0.79,4.54868834065147e-13,"0"
"EPN2",4.55532656470667e-17,0.599994886253192,0.827,0.333,4.78218182762906e-13,"0"
"SLC5A8",5.48047503983194e-17,0.542258829434857,0.56,0.1,5.75340269681557e-13,"0"
"SOX4",7.0886194681127e-17,-0.346792361019621,0.92,0.986,7.44163271762471e-13,"0"
"HES6",7.41242491104759e-17,0.520389493102912,0.627,0.16,7.78156367161776e-13,"0"
"PALLD",8.50509386586324e-17,-0.821988283711432,0.08,0.667,8.92864754038323e-13,"0"
"MT1X",9.56025400905161e-17,-0.684627450843004,0.493,0.84,1.00363546587024e-12,"0"
"PLXND1",1.01990236505901e-16,0.500527921750762,0.653,0.151,1.07069350283895e-12,"0"
"IDH1",1.06510361791578e-16,0.485178436513796,0.973,0.639,1.11814577808799e-12,"0"
"VMP1",1.92787740437861e-16,-0.398750572587129,0.893,0.963,2.02388569911667e-12,"0"
"ARFGEF3",2.31499459732763e-16,0.425886302949632,0.96,0.571,2.43028132827455e-12,"0"
"BRD2",2.44657980736519e-16,-0.472873664713948,0.853,0.945,2.56841948177198e-12,"0"
"NFKBIA",2.77612809182953e-16,-0.554599234249672,0.707,0.909,2.91437927080265e-12,"0"
"ELOVL5",2.78519856418287e-16,0.438282838351651,1,0.658,2.92390145267917e-12,"0"
"TONSL",2.8257910971635e-16,0.359017102960527,0.44,0.05,2.96651549380224e-12,"0"
"CEP57L1",3.37502643234971e-16,0.567303170502951,0.733,0.219,3.54310274868073e-12,"0"
"ST8SIA6-AS1",3.80936853735105e-16,0.57546182759034,0.867,0.342,3.99907509051113e-12,"0"
"SIX1",3.89797524336305e-16,0.502144300173682,0.973,0.511,4.09209441048253e-12,"0"
"TMPRSS4",4.89513426180911e-16,0.547357857128458,0.48,0.068,5.13891194804721e-12,"0"
"LAD1",5.8531285306618e-16,0.47421775270322,0.88,0.315,6.14461433148876e-12,"0"
"TRIM5",6.17533130668397e-16,0.566334911391962,0.867,0.384,6.48286280575683e-12,"0"
"PAQR5",6.74302353792374e-16,0.422797402830623,0.493,0.073,7.07882611011234e-12,"0"
"TRAF3IP1",6.92957671058145e-16,0.502381014595178,0.853,0.324,7.27466963076841e-12,"0"
"MPHOSPH6",7.92967621677854e-16,0.548324158149921,0.947,0.466,8.32457409237411e-12,"0"
"HCAR1",8.97405161821434e-16,0.384955372631464,0.48,0.068,9.42095938880141e-12,"0"
"CRIP1",1.07733586417269e-15,-1.0860695392687,0.027,0.575,1.13098719020849e-11,"0"
"SAPCD2",1.23125171269259e-15,0.354517385687778,0.573,0.123,1.29256804798468e-11,"0"
"CPE",1.3063207808066e-15,-0.82475453697126,0.107,0.639,1.37137555569076e-11,"0"
"DUSP4",1.43405183153938e-15,0.485628985431966,0.813,0.32,1.50546761275004e-11,"0"
"LBHD1",1.69675616791902e-15,0.436871726886746,1,0.63,1.78125462508138e-11,"0"
"WIPF2",1.86791990114298e-15,0.437929476624844,1,0.607,1.9609423122199e-11,"0"
"HLA-C",1.97919469893384e-15,-0.431628658619738,0.867,0.945,2.07775859494074e-11,"0"
"IFI27",2.39403052067157e-15,-0.986056150447575,0.067,0.635,2.51325324060102e-11,"0"
"RBM47",2.56805561072918e-15,0.386846647767577,1,0.721,2.6959447801435e-11,"0"
"CCDC28A",3.06193786770463e-15,0.536877118808361,0.8,0.306,3.21442237351632e-11,"0"
"RAB26",3.27265637147144e-15,0.465916136992096,0.427,0.055,3.43563465877072e-11,"0"
