gene_name,Model1_count,Model2_count,Model3_count,Positive1_count,Positive2_count,Positive3_count
Enam,0,0,0,0,0,0
Nadk2,1112,903,1061,765,950,711
Smr3a,0,0,0,0,0,0
Cdc7,1256,946,744,1327,1410,1166
Amtn,0,0,0,0,0,0
Ambn,0,0,0,0,0,0
Atp6ap2,3115,2805,3792,2166,2372,1801
Gm128,0,0,4,2,8,4
Ppp1r8,970,623,990,379,473,313
Sema3a,73,206,92,92,64,48
Rpa2,947,698,973,352,438,298
Smpdl3b,20,22,7,2,6,1
Eya3,941,648,927,344,441,330
Yrdc,208,135,270,127,135,66
Zyg11b,2220,1995,2415,2144,2630,1957
Ly6d,96,43,16,4,2,3
Sp8,0,0,0,0,0,0
Gm36935,0,0,0,0,0,0
Gm36936,158,200,136,280,260,266
Gm36937,2,3,3,5,1,2
Gm36938,0,0,0,0,0,0
A430110C17Rik,315,346,408,446,473,357
4933424G06Rik,1,3,0,1,0,0
Gm36939,0,0,0,0,0,0
Sh2d1b1,79,56,52,20,26,24
Gm36940,68,68,48,79,46,52
Rimbp2,0,0,0,0,0,0
Piwil1,0,0,0,0,0,0
Rsrc2,2001,2141,1816,2354,2266,2129
Zcchc8,851,793,996,682,811,689
Scarb2,2515,1949,2294,824,960,768
Stx2,421,338,537,412,501,328
3110001I22Rik,368,334,481,340,389,277
Gdpd4,1,0,2,1,0,0
Kcnh8,0,0,0,0,0,0
Tsen34,136,108,148,107,123,79
Alox5,344,670,838,1686,2349,1449
8-Mar,356,700,651,646,1024,540
Hrh2,69,82,91,325,254,225
Parm1,24,2,6,3,6,1
Rad17,710,1290,857,584,1048,872
Marveld2,11,17,7,11,15,8
Cd59a,65,42,32,21,29,14
Ocln,1,0,1,0,0,0
Gtf2h2,448,447,390,308,289,208
Prorsd1,392,376,308,252,302,225
Traip,749,672,736,394,404,346
Nlrc5,1429,1191,1128,1443,917,786
Rbm6,3570,3620,3561,4272,4002,3675
Mon1a,222,127,266,149,189,112
Klk5,0,0,0,0,0,0
9830147E19Rik,327,306,235,299,285,245
Bsn,295,174,377,208,158,115
Gm13609,2,0,0,0,0,0
Foxn4,0,0,0,0,0,0
Prlhr,0,0,0,0,0,0
Kcng3,0,1,0,3,0,0
Gm11508,2,0,2,2,2,0
Polr3e,512,275,475,197,211,138
Gm12130,0,0,0,0,0,0
Gm13556,0,0,0,0,0,0
Nr5a1,0,0,0,0,0,0
Gm13832,0,0,0,0,0,0
Gm14341,0,0,0,0,0,0
Gm15866,0,0,0,0,0,0
Gm11946,0,1,2,0,0,0
Tesk2,503,484,637,874,1073,717
Dnah17,7,10,16,24,12,19
Gria2,19,5,1,3,0,0
Coil,202,123,170,65,80,55
Gm12953,0,1,0,3,5,4
Pdzd9,1,0,0,0,1,0
Mrpl49,558,389,618,244,360,273
Gm15856,0,0,1,2,0,1
Rsbn1,3598,3782,4321,3882,5075,3769
Pabpc1l2a-ps,0,0,0,0,0,0
Gm13499,0,0,0,0,0,0
Gm4473,2,0,0,0,0,0
Olfr1343-ps1,0,0,0,0,0,0
C130050O18Rik,157,148,180,171,203,150
Acss2os,0,1,0,0,0,2
Gm15731,0,0,0,0,0,0
Wipf1,2170,1896,2237,2073,2225,1752
Gm1968,15,2,3,10,2,4
Carns1,166,64,86,137,136,82
RP24-179I4.5,16,8,5,7,10,9
Igkv1-108,0,0,0,0,0,0
Scyl1,705,469,829,344,446,316
Dhx33,1011,716,972,713,656,437
Smc5,2789,3248,3028,2656,3538,2736
Capn1,1782,1725,2860,1542,2477,1275
Arl2,177,108,242,106,100,65
Men1,534,277,617,250,380,203
Mapk8,851,812,742,656,799,665
Sf1,2016,1711,2279,1703,1745,1470
Map4k2,914,1014,1297,1845,2758,1689
Mlst8,493,529,701,826,1062,678
RP23-68N11.2,0,0,0,0,0,0
Uqcr10,426,394,422,129,212,121
Rnaseh2b,730,744,783,735,739,638
Gm15123,0,0,0,0,0,0
Gm14167,6,2,0,1,2,0
Kctd14,139,90,54,63,46,23
Kcnf1,0,0,0,0,0,2
Gm16156,0,0,0,0,0,1
Gm13112,0,0,0,0,0,0
Rab11fip4os1,1,4,0,4,1,0
Gm16323,0,0,0,0,0,0
Tmem145,0,0,0,0,0,0
Gm17567,2,3,2,3,3,2
Ankrd39,9,3,1,2,5,0
Gm5087,0,0,0,0,0,0
4930563D23Rik,3,0,0,0,0,0
Olfr1273-ps,0,0,0,0,1,0
Pcyt1a,721,527,1696,1126,1520,455
Eif4g2,17432,13602,19802,10781,13440,9848
Mrvi1,645,179,367,339,210,120
Wbscr28,0,0,0,0,0,0
Rundc3b,16,7,6,0,2,1
Mblac2,160,129,125,132,94,101
Olfr986,0,0,0,0,0,0
Srsx,0,0,0,0,0,0
Gm17546,0,0,0,0,0,0
Psmd10,339,367,418,212,313,232
Vmn1r193,0,0,0,0,0,0
Csl,1,2,1,0,1,1
Gm37785,5,8,4,2,6,4
Slamf9,6,8,21,5,1,3
Apcs,0,0,0,0,0,0
Tagln2,2845,1814,4377,1312,1795,1362
Cfap45,3,3,0,0,1,0
Dusp23,34,21,39,22,23,16
Nkapl,12,12,12,9,4,3
Olfr54,0,0,0,0,0,0
Gm7538,0,0,0,0,0,0
Gm17110,0,0,0,0,2,0
Gm43372,4,0,2,5,9,0
Comt,298,294,581,167,196,150
Capn12,0,0,0,0,0,0
Olfr1290,0,0,0,0,0,0
Mug-ps1,0,0,2,0,0,0
Cp,203,127,170,159,150,90
Gm7415,0,0,0,0,0,0
Olfr824,0,0,0,0,0,0
Gm5728,0,0,0,0,0,0
Gm21405,0,0,0,0,0,0
Atp1a4,0,0,0,0,0,0
Dlx6os1,0,0,0,0,0,0
5830468F06Rik,0,0,0,0,0,1
Vis1,34,7,9,5,2,7
Gm12504,1,1,0,1,0,0
Gm12628,0,0,0,0,0,0
Rbp1,18,10,8,14,6,8
Ankrd66,8,13,8,15,6,4
Rab34,20,12,18,8,9,7
Unc119,403,355,371,337,457,281
Foxn1,0,0,0,0,0,0
B020004C17Rik,0,0,0,0,0,0
Spag5,1528,1404,2119,1244,1426,1117
