,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000014257,35,1,3,14
ENSG00000014641,4958,3110,8038,8452
ENSG00000014824,771,773,406,1519
ENSG00000014914,461,125,345,48
ENSG00000014919,953,845,867,1784
ENSG00000015133,83,148,125,208
ENSG00000015153,264,151,386,486
ENSG00000015171,1185,937,708,1777
ENSG00000015285,71,174,386,317
ENSG00000015413,6,20,51,7
ENSG00000015475,933,943,2270,1686
ENSG00000015479,75,28,4,35
ENSG00000015520,65,8,4485,3318
ENSG00000015532,894,589,1018,658
ENSG00000015568,0,0,0,0
ENSG00000015592,0,0,0,0
ENSG00000015676,3028,2086,1698,2424
ENSG00000016082,0,0,0,0
ENSG00000016391,2296,2837,1522,4334
ENSG00000016402,0,0,1,46
ENSG00000016490,0,0,0,0
ENSG00000016602,0,0,0,1
ENSG00000016864,956,2277,1390,1623
ENSG00000017260,1544,775,979,1885
ENSG00000017427,215,301,356,1391
ENSG00000017483,27,16,35,19
ENSG00000017797,1570,1112,600,1452
ENSG00000018189,393,418,447,450
ENSG00000018236,0,3,0,33
ENSG00000018280,23,18,86,293
ENSG00000018408,819,419,715,1077
ENSG00000018510,1906,765,783,1684
ENSG00000018607,0,0,0,0
ENSG00000018610,364,227,458,428
ENSG00000018625,7,6,16,52
ENSG00000018699,279,264,334,463
ENSG00000018869,34,20,16,82
ENSG00000019102,1366,41,69,268
ENSG00000019144,312,255,139,292
ENSG00000019169,0,305,673,2145
ENSG00000019186,1,0,0,0
ENSG00000019485,34,30,102,202
ENSG00000019505,2,0,5,36
ENSG00000019549,32,119,998,172
ENSG00000019582,13978,74456,49440,25929
ENSG00000019991,107,130,244,1112
ENSG00000019995,520,247,187,1072
ENSG00000020129,253,389,282,324
ENSG00000020181,285,414,130,511
ENSG00000020219,0,0,0,0
ENSG00000020256,222,267,220,374
ENSG00000020426,196,186,264,261
ENSG00000020577,595,422,381,1282
ENSG00000020633,46,128,182,226
ENSG00000020922,198,173,250,236
ENSG00000021300,2,11,11,88
ENSG00000021355,1073,1831,1146,1586
ENSG00000021461,17,17,8,249
ENSG00000021488,965,258,568,1090
ENSG00000021574,355,281,330,603
ENSG00000021645,8,441,4,7
ENSG00000021762,179,141,85,166
ENSG00000021776,598,353,408,944
ENSG00000021826,47691,122,173993,195785
ENSG00000021852,6278,18852,25841,33813
ENSG00000022267,878,825,337,1314
ENSG00000022277,1430,1946,2073,2800
ENSG00000022355,0,0,0,0
ENSG00000022556,6,6,2,1
ENSG00000022567,55,39,68,120
ENSG00000022840,1989,2968,3689,3761
ENSG00000022976,130,137,74,161
ENSG00000023041,667,693,812,1252
ENSG00000023171,25,159,256,118
ENSG00000023191,3489,3483,7159,6103
ENSG00000023228,3039,2082,1712,7767
ENSG00000023287,1041,1029,1463,1254
ENSG00000023318,3297,2473,2070,3565
